% function evaluation | noise-free fitness - Fopt (-4.620900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1499 +1.286421752e+02 +1.286421752e+02 -3.334478248e+02 -3.334478248e+02 +1.7241e+00 +1.4288e+00 +3.0804e+00 -4.6122e-02 +3.8513e+00 +7.9284e-01 +1.1432e+00 +2.6200e+00 +3.4888e+00 +5.9213e-01 -3.2494e+00 -3.7347e+00 -6.4282e-01 -2.8870e+00 -9.4315e-01 -3.5838e+00 +4.9609e-01 +1.8476e+00 -2.1433e+00 +1.1191e+00
1565 +1.240621623e+02 +1.240621623e+02 -3.380278377e+02 -3.380278377e+02 +1.7247e+00 +1.4164e+00 +3.0065e+00 +4.5662e-02 +3.7694e+00 +8.5111e-01 +1.2537e+00 +2.6751e+00 +3.6476e+00 +5.4567e-01 -3.4097e+00 -3.6529e+00 -6.6236e-01 -2.9661e+00 -9.4293e-01 -3.5020e+00 +5.4638e-01 +1.9325e+00 -2.3542e+00 +1.1350e+00
1593 +1.174392949e+02 +1.174392949e+02 -3.446507051e+02 -3.446507051e+02 +1.6287e+00 +1.3762e+00 +3.1981e+00 +4.8703e-02 +3.8272e+00 +7.5327e-01 +1.2607e+00 +2.6839e+00 +3.5848e+00 +7.0515e-01 -3.3161e+00 -3.7874e+00 -6.4646e-01 -2.9379e+00 -8.9704e-01 -3.4991e+00 +5.6893e-01 +2.1371e+00 -2.2860e+00 +1.1452e+00
1643 +1.062038382e+02 +1.062038382e+02 -3.558861618e+02 -3.558861618e+02 +1.5704e+00 +1.3589e+00 +3.0170e+00 -1.2398e-01 +3.7542e+00 +7.7151e-01 +1.2690e+00 +2.6268e+00 +3.6354e+00 +5.7638e-01 -3.3777e+00 -3.7129e+00 -5.6269e-01 -3.0407e+00 -8.5521e-01 -3.4866e+00 +5.4857e-01 +2.2024e+00 -2.0962e+00 +8.9696e-01
1657 +1.030854569e+02 +1.030854569e+02 -3.590045431e+02 -3.590045431e+02 +1.5360e+00 +1.3495e+00 +3.0316e+00 -1.0307e-01 +3.7612e+00 +7.5546e-01 +1.2882e+00 +2.6675e+00 +3.6590e+00 +6.2785e-01 -3.3121e+00 -3.7023e+00 -6.2460e-01 -3.0003e+00 -9.3409e-01 -3.4536e+00 +4.9879e-01 +2.1487e+00 -2.0790e+00 +9.2790e-01
1663 +1.020323684e+02 +1.020323684e+02 -3.600576316e+02 -3.600576316e+02 +1.6035e+00 +1.2790e+00 +3.1492e+00 -8.1604e-02 +3.7514e+00 +6.7743e-01 +1.2522e+00 +2.6469e+00 +3.6282e+00 +5.7955e-01 -3.2971e+00 -3.7381e+00 -5.2569e-01 -2.9978e+00 -9.0899e-01 -3.4535e+00 +5.2193e-01 +2.1722e+00 -2.0885e+00 +9.1308e-01
1672 +9.863836287e+01 +9.863836287e+01 -3.634516371e+02 -3.634516371e+02 +1.5524e+00 +1.2535e+00 +3.1118e+00 -2.0706e-01 +3.7806e+00 +6.9265e-01 +1.2606e+00 +2.6267e+00 +3.6293e+00 +5.8198e-01 -3.3329e+00 -3.8007e+00 -4.8676e-01 -2.9968e+00 -9.0802e-01 -3.4776e+00 +5.1637e-01 +2.1727e+00 -2.1157e+00 +8.5180e-01
1707 +9.214066936e+01 +9.214066936e+01 -3.699493306e+02 -3.699493306e+02 +1.5261e+00 +1.3191e+00 +3.1197e+00 -1.4905e-01 +3.7854e+00 +7.8689e-01 +1.2618e+00 +2.6609e+00 +3.5678e+00 +6.1192e-01 -3.3296e+00 -3.6977e+00 -5.4243e-01 -2.9436e+00 -9.2922e-01 -3.4694e+00 +5.0857e-01 +2.1453e+00 -2.0524e+00 +8.5436e-01
1736 +9.076498114e+01 +9.076498114e+01 -3.713250189e+02 -3.713250189e+02 +1.5549e+00 +1.3905e+00 +3.0452e+00 -1.4369e-01 +3.8539e+00 +8.3833e-01 +1.2791e+00 +2.6642e+00 +3.6088e+00 +6.1121e-01 -3.4112e+00 -3.6985e+00 -6.1483e-01 -2.9512e+00 -8.7133e-01 -3.4826e+00 +5.2060e-01 +2.1704e+00 -2.0793e+00 +8.8275e-01
1744 +8.869538253e+01 +8.869538253e+01 -3.733946175e+02 -3.733946175e+02 +1.5567e+00 +1.3503e+00 +3.0718e+00 -1.3654e-01 +3.8705e+00 +8.4545e-01 +1.3238e+00 +2.6474e+00 +3.6292e+00 +6.2631e-01 -3.3710e+00 -3.6702e+00 -6.2532e-01 -2.9275e+00 -8.9088e-01 -3.4891e+00 +5.2143e-01 +2.1418e+00 -2.0775e+00 +8.4950e-01
1746 +8.209841123e+01 +8.209841123e+01 -3.799915888e+02 -3.799915888e+02 +1.6332e+00 +1.3547e+00 +3.0817e+00 -1.4272e-01 +3.8721e+00 +7.6952e-01 +1.2947e+00 +2.6271e+00 +3.6538e+00 +6.0725e-01 -3.4037e+00 -3.8041e+00 -6.7801e-01 -2.9554e+00 -9.2336e-01 -3.4906e+00 +4.9596e-01 +2.2050e+00 -2.1099e+00 +8.3313e-01
1770 +7.745419771e+01 +7.745419771e+01 -3.846358023e+02 -3.846358023e+02 +1.6601e+00 +1.3108e+00 +3.1516e+00 -1.6405e-01 +3.9434e+00 +7.7852e-01 +1.2793e+00 +2.6038e+00 +3.6473e+00 +6.4271e-01 -3.3443e+00 -3.7922e+00 -6.7485e-01 -2.9150e+00 -8.8816e-01 -3.4823e+00 +5.4505e-01 +2.2043e+00 -2.0784e+00 +8.7694e-01
1900 +7.546914492e+01 +7.546914492e+01 -3.866208551e+02 -3.866208551e+02 +1.6433e+00 +1.3401e+00 +3.1483e+00 -1.5986e-01 +3.8505e+00 +8.9689e-01 +1.2496e+00 +2.5602e+00 +3.6246e+00 +6.0754e-01 -3.3405e+00 -3.7751e+00 -6.0280e-01 -2.9303e+00 -9.3708e-01 -3.4685e+00 +5.0754e-01 +2.1762e+00 -2.0908e+00 +8.8054e-01
1938 +7.407485289e+01 +7.407485289e+01 -3.880151471e+02 -3.880151471e+02 +1.6000e+00 +1.3734e+00 +3.1265e+00 -1.3643e-01 +3.8302e+00 +8.6122e-01 +1.2373e+00 +2.5818e+00 +3.6297e+00 +6.4058e-01 -3.3535e+00 -3.8058e+00 -6.2653e-01 -2.9630e+00 -9.1849e-01 -3.4842e+00 +4.9799e-01 +2.1625e+00 -2.1107e+00 +8.5039e-01
2004 +7.185970549e+01 +7.185970549e+01 -3.902302945e+02 -3.902302945e+02 +1.6155e+00 +1.3440e+00 +3.1321e+00 -1.1644e-01 +3.8978e+00 +8.6832e-01 +1.2545e+00 +2.5672e+00 +3.6521e+00 +5.9652e-01 -3.3036e+00 -3.8086e+00 -6.3722e-01 -2.9607e+00 -9.3019e-01 -3.4621e+00 +5.1277e-01 +2.1566e+00 -2.1220e+00 +8.5461e-01
2032 +7.017747950e+01 +7.017747950e+01 -3.919125205e+02 -3.919125205e+02 +1.6069e+00 +1.3695e+00 +3.1227e+00 -1.2653e-01 +3.8871e+00 +8.3601e-01 +1.2604e+00 +2.5711e+00 +3.6422e+00 +6.2075e-01 -3.3189e+00 -3.7947e+00 -6.0586e-01 -2.9602e+00 -9.2656e-01 -3.4726e+00 +5.2753e-01 +2.1825e+00 -2.1370e+00 +8.7572e-01
2116 +6.835651710e+01 +6.835651710e+01 -3.937334829e+02 -3.937334829e+02 +1.6586e+00 +1.3450e+00 +3.1585e+00 -1.6085e-01 +3.9199e+00 +8.0503e-01 +1.2459e+00 +2.5657e+00 +3.6253e+00 +6.2572e-01 -3.3148e+00 -3.7832e+00 -6.0111e-01 -2.9616e+00 -9.1715e-01 -3.4677e+00 +5.3111e-01 +2.1782e+00 -2.1058e+00 +8.6338e-01
2163 +6.733970245e+01 +6.733970245e+01 -3.947502975e+02 -3.947502975e+02 +1.6591e+00 +1.3528e+00 +3.1517e+00 -1.5328e-01 +3.9278e+00 +8.1319e-01 +1.2426e+00 +2.5739e+00 +3.6386e+00 +6.0847e-01 -3.3149e+00 -3.7796e+00 -6.1039e-01 -2.9592e+00 -9.0623e-01 -3.4720e+00 +5.2785e-01 +2.1797e+00 -2.1074e+00 +8.6278e-01
2306 +6.597842340e+01 +6.597842340e+01 -3.961115766e+02 -3.961115766e+02 +1.6546e+00 +1.3460e+00 +3.1513e+00 -1.4540e-01 +3.9514e+00 +8.2048e-01 +1.2655e+00 +2.5882e+00 +3.6352e+00 +6.1452e-01 -3.3118e+00 -3.7822e+00 -6.2454e-01 -2.9539e+00 -9.0985e-01 -3.4642e+00 +5.1853e-01 +2.1718e+00 -2.1140e+00 +8.6035e-01
% function evaluation | noise-free fitness - Fopt (7.766000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.473743362e+02 +9.473743362e+02 +1.025034336e+03 +1.025034336e+03 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
2 +7.842625463e+02 +7.842625463e+02 +8.619225463e+02 +8.619225463e+02 +2.4239e-01 -3.0987e-01 -7.7297e-03 +3.5799e-02 +1.4164e-01 -2.5483e-02 +2.5173e-01 -3.5743e-02 -4.1300e-01 -1.9461e-01 -8.3346e-02 -1.7565e-01 +2.1597e-01 -2.3949e-01 -5.6421e-02 +2.6143e-01 +1.0605e-01 +1.2102e-02 +2.8907e-01 -4.0121e-01
8 +7.309455508e+02 +7.309455508e+02 +8.086055508e+02 +8.086055508e+02 +1.9211e-01 +3.6544e-01 +7.8843e-02 -1.2546e-01 -6.1274e-02 -3.1887e-01 +9.2146e-02 -1.1007e-01 -1.5956e-01 -2.3141e-01 +2.3007e-01 -1.6525e-01 -1.0281e-01 +1.7325e-01 -2.2383e-01 +8.2151e-02 +1.5227e-01 -2.4484e-01 +3.0115e-01 -5.3930e-01
10 +6.858836757e+02 +6.858836757e+02 +7.635436757e+02 +7.635436757e+02 +7.8515e-02 +4.0024e-02 -2.3282e-01 +3.7590e-02 +7.0291e-02 -7.5198e-02 -1.5843e-01 +5.2974e-02 -3.1109e-01 -1.3328e-01 +2.2748e-02 -8.8865e-02 -2.2839e-01 +1.0057e-01 -1.0791e-01 +1.1006e-01 +3.6569e-01 -2.2732e-01 +5.4374e-01 -8.4747e-01
23 +6.659708387e+02 +6.659708387e+02 +7.436308387e+02 +7.436308387e+02 +4.6844e-01 -1.5894e-01 -5.2799e-01 -2.8851e-01 +3.9040e-01 +1.7594e-02 -2.2756e-01 -3.3759e-02 -1.8558e-01 -2.2661e-01 +3.2740e-01 -2.6948e-01 -4.1600e-02 +1.8526e-01 -1.7272e-01 -1.7504e-01 +5.4534e-01 -4.3658e-01 +7.5939e-01 -3.6111e-01
35 +6.470313947e+02 +6.470313947e+02 +7.246913947e+02 +7.246913947e+02 +1.8517e-01 +4.6886e-02 -1.6681e-01 -3.1017e-01 +8.1259e-01 -5.0796e-02 -2.4010e-01 +5.7598e-01 -1.0093e+00 -5.1741e-01 +3.6691e-01 +6.4218e-02 +1.4997e-01 +1.8352e-01 -9.3845e-02 -7.6240e-02 +1.6780e-01 -6.8277e-01 +7.0730e-01 -7.1585e-01
36 +6.360953894e+02 +6.360953894e+02 +7.137553894e+02 +7.137553894e+02 +2.4844e-02 +1.2862e-01 -3.5900e-01 -2.0589e-01 +6.0796e-01 -1.2624e-01 -3.7920e-01 -1.2782e-02 -3.6229e-01 -4.5850e-01 +9.2775e-01 -1.5815e-01 -1.1681e-01 +1.7974e-01 -1.5566e-01 +1.7976e-01 +4.4599e-01 -8.5900e-01 +4.9640e-01 -3.3306e-01
38 +6.203549907e+02 +6.203549907e+02 +6.980149907e+02 +6.980149907e+02 +1.3129e-01 -3.7876e-01 -1.9600e-01 -2.8985e-01 +5.1792e-01 -2.3877e-01 -6.1595e-02 +1.4435e-01 -4.8420e-01 -4.5829e-01 +5.0662e-01 -4.5297e-01 -1.0307e-01 -2.4921e-01 -1.2100e-02 -1.4218e-01 +5.5794e-01 -7.1472e-01 +6.5051e-01 -6.2213e-01
